POI_ID;ADDRESS;"﻿""DESCRIPTION""";NAME;GeoJSON;geo_point_2d
1042;964 LINCOLN DR;Park;PIMLICO PARK;"{""type"": ""Point"", ""coordinates"": [-76.58769423139863, 44.241076037159964]}";44.2410760372,-76.5876942314
1049;2 CAEN CRES;Park;CAEN PARK (CFB);"{""type"": ""Point"", ""coordinates"": [-76.44119196925382, 44.23986647617481]}";44.2398664762,-76.4411919693
1050;992 PORTSMOUTH AVE;Park;SPRINGER PARK;"{""type"": ""Point"", ""coordinates"": [-76.53073340767567, 44.25370327906764]}";44.2537032791,-76.5307334077
1054;51 SUTHERLAND DR;Park;SUTHERLAND DRIVE PARK;"{""type"": ""Point"", ""coordinates"": [-76.47708868156823, 44.26911070757668]}";44.2691107076,-76.4770886816
1058;112 MARCLEN DR;Park;MARCLEN OPEN SPACE;"{""type"": ""Point"", ""coordinates"": [-76.40665724432769, 44.279205231413535]}";44.2792052314,-76.4066572443
1059;52 NOTCH HILL RD;Parkette;SILAS STEVENS PARKETTE;"{""type"": ""Point"", ""coordinates"": [-76.53119940731004, 44.23782347476624]}";44.2378234748,-76.5311994073
1071;864 ROCHDALE CRES;Park;ROCHDALE PARK;"{""type"": ""Point"", ""coordinates"": [-76.42825899093846, 44.301004275308046]}";44.3010042753,-76.4282589909
1074;2 HOWE ISLAND FERRY RD;Park;CHANNEL VIEW PARK;"{""type"": ""Point"", ""coordinates"": [-76.3276991838481, 44.278477260553515]}";44.2784772606,-76.3276991838
1091;4266 BATH RD;Park;ARTHUR LOWER PARK;"{""type"": ""Point"", ""coordinates"": [-76.62520000671756, 44.23093854250771]}";44.2309385425,-76.6252000067
1111;56 ELLESMEER AVE;Park;WALNUT GROVE PARK;"{""type"": ""Point"", ""coordinates"": [-76.54708361112665, 44.26117183219825]}";44.2611718322,-76.5470836111
1125;5 RUDD AVE;Park;ESPLANADE PARK;"{""type"": ""Point"", ""coordinates"": [-76.38014381581887, 44.25852876552149]}";44.2585287655,-76.3801438158
1129;67 FRASER ST;Parkette;FRASER STREET PARKETTE;"{""type"": ""Point"", ""coordinates"": [-76.49041497602695, 44.24652839812981]}";44.2465283981,-76.490414976
1005;4140 BATH RD;Park;COLLINS BAY OPEN SPACE;"{""type"": ""Point"", ""coordinates"": [-76.61776791805342, 44.23731845233676]}";44.2373184523,-76.6177679181
1141;875 GARDINERS RD;Park;LIONS CIVIC GARDENS;"{""type"": ""Point"", ""coordinates"": [-76.5701258553146, 44.25436748577752]}";44.2543674858,-76.5701258553
1144;40 GROSVENOR CRT;Park;GROSVENOR COURT PARK;"{""type"": ""Point"", ""coordinates"": [-76.53453593642851, 44.24633708677508]}";44.2463370868,-76.5345359364
